,REGIAO,ESPÉCIE,FASE,ADITIVO,AREA,ABA_ESP,ABB_ESP,ABC_ESP,ABD_ESP,ABE_ESP,ABF_ESP,ABG_ESP,ABH_ESP,ABI_ESP,ABL_ESP,ABM_ESP
5875,RIB. PRETO,BULL24855536,5d,I,31.94582,75.63889777407,27.52,24.17,21.87675693453566,1281.33,30.38,32.902433,24.925916,166.310327316203,21.82013914555912,12.53
5876,SÃO CARLOS,BULL24855536,2d,I,20.85,97.5627118644068,26.0,24.41,23.9787796610169,769.23,28.65,31.740053,23.121337,152.596501684408,24.0298179627666,12.63
5877,MATO G. DO SUL,PS321813250,>5d,B,20.8,34.6636363636364,25.89,24.53,15.14797909090909,211.44,28.56,30.93,25.1667,150.699745854433,15.14344060377364,12.54
5878,RIB. PRETO,BULL24867515,fr,I,12.88,139.25,27.8751,24.56,32.20106475,123.98,30.93,33.34,23.3,169.49406369557,32.0411196052613,
5879,ARACATUBA,BULL24867515,2d,E,64.8,93.3399621212121,28.8244,25.15,25.6849605871212,4306.75,32.27,34.26000000000001,25.4,177.977140840532,25.500574348956,
5880,PARANÁ,BULL24867515,2d,E,59.88,83.7794903926483,25.382443,23.998148,21.60584938748663,3448.802,27.802487,30.588045,26.982234,146.512224146505,21.6552189008178,12.7250691
5885,ARACATUBA,BULL24867515,4d,D,28.75,79.4508059701493,27.4761,24.64,22.4387541827463,1141.801,30.48,32.47,24.5,165.231538184239,22.3355907505726,
5886,PARANÁ,BULL24867515,>5d,D,63.67,36.2446487323399,26.260949,26.1875515,15.45751699094813,1264.721,29.499222,31.605635,26.525615,153.677244967483,15.43491503760229,12.579673
5887,PARANÁ,BULL24867515,>5d,C,136.97,33.9153076738417,26.845835,26.079242,15.25351041700088,2750.756,30.181911,32.27413,24.064969,159.210198624469,15.22615679558259,12.5649589
5890,MATO G. DO SUL,BULL24867515,5d,C,145.98,73.81258396775641,26.69,25.24,21.08026858486341,8293.65,29.73,32.11,24.51,158.166227196098,21.03491219180897,12.51
